순위,관광지명,주소,latitude,longitude,분류,외지인 검색 수
61,세계자동차&피아노박물관,제주 서귀포시 중산간서로 1610-0,33.283212,126.3499189,전시시설,72239
62,퍼스트70호텔,제주 서귀포시 명동로 46-0,33.2472796,126.5668542,호텔,72203
63,더베스트제주성산,제주 서귀포시 동류암로 26-0,33.4496904,126.9171368,호텔,72063
64,제주동백수목원,제주 서귀포시 남원읍 위미리 929-2,33.302706,126.6568975,기타관광,70299
65,군산오름,제주 서귀포시 안덕면 창천리 564,33.2551483,126.3683239,자연경관(산),70210
66,남원큰엉,제주 서귀포시 남원읍 태위로 522-17,33.273292,126.7034612,기타관광,69425
67,백약이오름,제주 서귀포시 표선면 성읍리 산1,33.437224,126.790195,자연경관(산),68859
68,약천사,제주 서귀포시 이어도로 293-28,33.2461046,126.4495188,종교성지,68439
69,플레이스캠프제주,제주 서귀포시 동류암로 20-0,33.4499881,126.9182865,호텔,68134
70,신양섭지해수욕장,제주 서귀포시 섭지코지로 88-0,33.4351929,126.9232266,자연경관(하천/해양),67935
71,외돌개,제주 서귀포시 서홍동 791,33.2400761,126.5456641,기타관광,66907
72,제주곶자왈도립공원,제주 서귀포시 에듀시티로 178-0,33.289275,126.2749677,자연공원,66517
73,더큐브리조트제주,제주 서귀포시 솔오름로105번길 24-0,33.2863083,126.5631106,콘도미니엄,66085
74,마라도가는여객선,제주 서귀포시 송악관광로 424-0,33.207476,126.2904973,교통시설,65518
75,제주여미지식물원,제주 서귀포시 중문관광로 93-0,33.2531755,126.4149952,테마공원,65334
76,봄그리고가을리조트,제주 서귀포시 해맞이해안로 2652-0,33.4744609,126.9105998,콘도미니엄,65031
77,성읍민속마을,제주 서귀포시 성읍정의현로 19-0,33.3844862,126.8003558,역사유적지,64198
78,코업시티호텔하버뷰,제주 서귀포시 태위로 108-0,33.2745227,126.659013,호텔,63720
79,서귀포JS호텔,제주 서귀포시 김정문화로 51-0,33.2514311,126.5103166,호텔,61250
80,이중섭미술관,제주 서귀포시 이중섭로 27-3,33.2458718,126.5649209,전시시설,61209
81,동백포레스트,제주 서귀포시 생기악로 53-38,33.3002994,126.6362055,농/산/어촌체험,60541
82,마라도가파도정기여객선,제주 서귀포시 최남단해안로 120-0,33.2105452,126.2576053,교통시설,60430
83,본태박물관,제주 서귀포시 산록남로762번길 69-0,33.3038302,126.3925024,전시시설,59325
84,산방산유채꽃밭,제주 서귀포시 안덕면,33.2926011,126.3476551,기타관광,57790
85,토스카나호텔제주,제주 서귀포시 용흥로66번길 158-7,33.2654814,126.4842785,호텔,57589
86,엠스테이호텔제주,제주 서귀포시 태평로353번길 14-0,33.2468717,126.5607244,호텔,56587
87,녹산로유채꽃도로,제주 서귀포시 표선면 가시리,33.3828211,126.7313785,데이트코스,56540
88,캐슬렉스제주GC,제주 서귀포시 평화로 1241-0,33.3406124,126.3475135,육상레저스포츠,55806
89,신화테마파크,제주 서귀포시 신화역사로304번길 98-0,33.3060039,126.3118145,테마공원,55222
90,WE호텔,제주 서귀포시 1100로 453-95,33.2861489,126.4444554,호텔,55139
91,해비치CC제주,제주 서귀포시 원님로399번길 319-0,33.3589911,126.7244129,육상레저스포츠,54442
92,붉은오름자연휴양림,제주 서귀포시 남조로 1487-73,33.3956632,126.6709854,자연공원,54242
93,위미동백나무군락,제주 서귀포시 남원읍 위미중앙로300번길 15,33.2728896,126.6749197,역사유적지,54179
94,파크선샤인제주,제주 서귀포시 남성중로 135-0,33.2435819,126.5535596,호텔,53385
95,신신호텔제주월드컵점,제주 서귀포시 서호중로 55-0,33.2545031,126.519286,호텔,52877
96,건강과성박물관,제주 서귀포시 일주서로 1611-0,33.2547254,126.3455651,전시시설,52809
97,해비치리조트,제주 서귀포시 민속해안로 537-0,33.3233757,126.8447677,콘도미니엄,52270
98,서귀포잠수함,제주 서귀포시 남성중로 40-0,33.2394153,126.5584767,기타관광,52141
99,소인국테마파크,제주 서귀포시 중산간서로 1878-0,33.2903957,126.3226207,기타관광,51773
100,한라산국립공원,제주 서귀포시 토평동 산15-1,33.3469018,126.5354546,자연공원,50763
,,,33.51166756,126.5258792,,1193919
,,,33.39374713,126.2391672,,756713
,,,33.54281972,126.6705103,,658203
,,,33.40663001,126.6555711,,405930
,,,33.4944647,126.8113049,,352138
,,,33.45043448,126.3047739,,350695
,,,33.5117568,126.5132777,,334597
,,,33.36625854,126.3577072,,325942
,,,33.5558671,126.7957892,,283308
,,,33.45534941,126.6688495,,276783
,,,33.3900226,126.2360424,,247463
,,, 33.342797911662146,126.1750176,,245170
,,,33.5574129,126.8035769,,244307
,,,33.48496409,126.4804254,,234900
,,,33.39669847,126.3449719,,230850
,,,33.54101817,126.6711244,,209989
,,,33.48254238,126.381816,,202680
,,,33.52837308,126.7716108,,187414
,,,33.43257409,126.693832,,175885
,,,33.3545723,126.3058335,,175456
,,,33.44900054,126.6373521,,166921
,,,33.39001765,126.3643525,,157165
,,,33.52003711,126.5342208,,156670
,,,33.5135137,126.5181572,,156080
,,,33.4860634,126.4828901,,152969
,,, 33.444131926090336,126.7781642,,150949
,,,33.4857982,126.4918965,,149173
,,,33.44004933,126.6251985,,148559
,,,33.4628883,126.3130734,,139480
,,,33.5199004,126.8562321,,138160
,,,33.4860634,126.4828901,,123375
,,,33.5150906,126.5172982,,121009
,,,33.39022325,126.2396794,,117033
,,,33.4860914,126.5380038,,103906
,,,33.5178369,126.5264891,,101985
,,,33.49349813,126.5342941,,101447
,,,33.489754,126.4858073,,100630
,,,33.5178369,126.5264891,,98597
,,,33.489754,126.4858073,,97022
,,,33.45983333,126.8326691,,96831
,,,33.4516041,126.4876441,,92554
,,,33.51158514,126.5260174,,92545
,,,33.47004734,126.4880363,,91868
,,,33.4952969,126.4753492,,84075
,,,33.4687656,126.4867766,,82248
,,,33.4535506,126.7544902,,78686
,,,33.36501436,126.2000147,,77737
,,,33.44582878,126.5479065,,76162
,,,33.4661507,126.3226061,,74386
,,,33.49345045,126.4909933,,72658
,,,33.5195024,126.5363536,,72432
,,,33.54240067,126.6662052,,71487
,,,33.53625018,126.7720164,,71058
,,,33.45783054,126.7558636,,68105
,,,33.5131379,126.5432587,,65986
,,,33.4923853,126.4286531,,65093
,,,33.35553395,126.2415024,,65062
,,,33.4729797,126.4869763,,63987
,,,33.45054328,126.4507825,,62874
,,,33.5189385,126.520211,,62647
,,,33.5195024,126.5363536,,61369
,,,33.47961979,126.7026827,,61323
,,,33.4967728,126.454649,,61056
,,,33.34460564,126.2782494,,57143
,,,33.4427751,126.4323554,,57126
